cik,company,form,filing_date,document
0001045810,NVIDIA CORP,13F-HR,2025-02-14,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,8-K,2025-01-17,nvda-20250113.htm
0001045810,NVIDIA CORP,10-Q,2024-11-20,nvda-20241027.htm
0001045810,NVIDIA CORP,8-K,2024-11-20,nvda-20241120.htm
0001045810,NVIDIA CORP,13F-HR,2024-11-14,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,SC 13G/A,2024-11-12,filing.txt
0001045810,NVIDIA CORP,8-K,2024-11-07,nvda-20241107.htm
0001045810,NVIDIA CORP,10-Q,2024-08-28,nvda-20240728.htm
0001045810,NVIDIA CORP,8-K,2024-08-28,nvda-20240828.htm
0001045810,NVIDIA CORP,13F-HR,2024-08-14,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,SC 13G,2024-07-18,nvidia-serv13g.htm
0001045810,NVIDIA CORP,8-K,2024-07-02,nvda-20240626.htm
0001045810,NVIDIA CORP,8-K,2024-06-07,nvda-20240607.htm
0001045810,NVIDIA CORP,10-Q,2024-05-29,nvda-20240428.htm
0001045810,NVIDIA CORP,8-K,2024-05-22,nvda-20240522.htm
0001045810,NVIDIA CORP,13F-HR,2024-05-15,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,DEFA14A,2024-05-14,noticeof2024annualmeeting.htm
0001045810,NVIDIA CORP,DEF 14A,2024-05-14,nvda-20240514.htm
0001045810,NVIDIA CORP,8-K,2024-03-14,nvda-20240308.htm
0001045810,NVIDIA CORP,10-K,2024-02-21,nvda-20240128.htm
0001045810,NVIDIA CORP,8-K,2024-02-21,nvda-20240221.htm
0001045810,NVIDIA CORP,13F-HR,2024-02-14,xslForm13F_X02/primary_doc.xml
0001045810,NVIDIA CORP,SC 13G/A,2024-02-13,tv01585-nvidiacorp.htm
0001045810,NVIDIA CORP,SC 13G/A,2024-02-09,filing.txt
0001045810,NVIDIA CORP,SC 13G/A,2024-01-26,us67066g1040_012624.txt
0001045810,NVIDIA CORP,10-Q,2023-11-21,nvda-20231029.htm
